Candidato;Bairro;Votos;P. de Votos Obtidos;;;;
C  VAGNER;PAPICU;4.411;0,71;;;;
C  VAGNER;PARANGABA;12.052;1,93;;;;
C  VAGNER;PARQUE DOIS IRMÃOS;5.412;0,87;;;;
C  VAGNER;PARQUE GENIBAÚ;4.571;0,73;;;;
C  VAGNER;PARQUE MANIBURA;1.456;0,23;;;;
C  VAGNER;PARQUE PRESIDENTE VARGAS;3.558;0,57;;;;
C  VAGNER;PARQUE SANTA MARIA;4.318;0,69;;;;
C  VAGNER;PARQUE SANTA ROSA;996;0,16;;;;
C  VAGNER;PARQUE SÃO JOSÉ;1.910;0,31;;;;
C  VAGNER;PARQUELÂNDIA;6.308;1,01;;;;
C  VAGNER;PASSARÉ;10.746;1,72;;;;
C  VAGNER;PAUPINA;3.603;0,58;;;;
C  VAGNER;PEDRAS;1.676;0,27;;;;
C  VAGNER;PICI;3.421;0,55;;;;
C  VAGNER;PLANALTO AYRTON SENNA;6.712;1,07;;;;
C  VAGNER;PRAIA DE IRACEMA;3.145;0,5;;;;
C  VAGNER;PRAIA DO FUTURO II;705;0,11;;;;
C  VAGNER;PREFEITO JOSÉ WALTER;16.985;2,72;;;;
C  VAGNER;PRESIDENTE KENNEDY;5.671;0,91;;;;
C  VAGNER;QUINTINO CUNHA;9.893;1,58;;;;
C  VAGNER;RODOLFO TEÓFILO;4.689;0,75;;;;
C  VAGNER;SABIAGUABA;277;0,04;;;;
C  VAGNER;SÃO GERARDO;3.979;0,64;;;;
C  VAGNER;SÃO JOÃO DO TAUAPE;5.826;0,93;;;;
C  VAGNER;SAPIRANGA;4.261;0,68;;;;
C  VAGNER;SERRINHA;9.392;1,5;;;;
C  VAGNER;SIQUEIRA;7.191;1,15;;;;
C  VAGNER;VARJOTA;4.862;0,78;;;;
C  VAGNER;VICENTE PINZON;7.142;1,14;;;;
C  VAGNER;VILA ELLERY;2.289;0,37;;;;
C  VAGNER;VILA PERI;7.217;1,15;;;;
C  VAGNER;VILA UNIÃO;6.009;0,96;;;;
C  VAGNER;VILA VELHA;15.583;2,49;;;;
C  VAGNER;TOTAL_Vagner;624.892;100;;;;
